City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Bani,DO,89.04,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
289,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
290,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
292,Korla,CN,79.0,broken clouds,41.7597,86.1469,Gulisitan Hotel
295,Canutama,BR,76.33,light rain,-6.5339,-64.3831,Hotel Jhennifer
299,Kavaratti,IN,83.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
300,Silopi,TR,79.97,clear sky,37.2497,42.4694,"Özenler Residence Otel, Şırnak Silopi"
308,Trairi,BR,76.53,few clouds,-3.2778,-39.2689,janelas do mar
313,Bonfim,BR,77.34,overcast clouds,3.0833,-59.95,
314,Lumsden,CA,77.0,overcast clouds,50.6501,-104.8678,Lumsden Hotel & Steak Pit
316,Poum,NC,75.07,overcast clouds,-20.2333,164.0167,
318,Lahij,YE,85.89,few clouds,13.1667,44.5833,
320,Topolobampo,MX,87.71,clear sky,25.6,-109.05,Hotel Marina Topolobampo
323,San Felipe,VE,79.5,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
326,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
327,Cotonou,BJ,78.78,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
329,Westport,US,75.27,overcast clouds,41.1415,-73.3579,The Westport Inn
333,Mattru,SL,75.33,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
335,Hambantota,LK,80.24,overcast clouds,6.1241,81.1185,Bungalow 63
342,Marsh Harbour,BS,83.19,few clouds,26.5412,-77.0636,Abaco Beach Resort
344,Kontagora,NG,78.17,scattered clouds,10.3999,5.4695,Queens Guest Inn
348,Hirara,JP,78.93,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
349,Uarini,BR,79.34,overcast clouds,-2.99,-65.1083,
353,Orange Walk,BZ,88.18,few clouds,17.8333,-88.8333,
356,Lleida,ES,80.29,clear sky,41.6167,0.6167,Hotel Ramon Berenguer IV
360,Praya,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
361,Kamphaeng Phet,TH,77.68,broken clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
369,Abeche,TD,84.52,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
371,Macapa,BR,89.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
375,Port Blair,IN,81.73,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
376,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
379,Ixtapa,MX,86.23,few clouds,20.7,-105.2,hotel la terminal
389,Nizwa,OM,89.78,clear sky,22.9333,57.5333,Orient Apartments
394,Jiazi,CN,78.37,overcast clouds,22.8779,116.067,Hotel Jin Hao
396,Dingle,PH,76.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Mogadishu,SO,79.0,light rain,2.0371,45.3438,Hotel Juba
401,Ewa Beach,US,85.95,scattered clouds,21.3156,-158.0072,Base Lodging
410,Kuala Terengganu,MY,76.95,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
416,Hetauda,NP,81.75,broken clouds,27.4284,85.0322,Regal Hetauda Resort
417,Wake Forest,US,88.93,clear sky,35.9799,-78.5097,Hampton Inn Raleigh/Town Of Wake Forest
421,Ibra,OM,83.86,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
426,Ternate,ID,79.39,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
429,Muli,MV,82.65,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
431,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
432,Nanakuli,US,85.95,scattered clouds,21.3906,-158.1547,Camp Pālehua
433,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
434,Mana,GF,79.25,clear sky,5.6592,-53.7767,LE SAMANA
442,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
443,Salalah,OM,84.15,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
447,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
454,Guhagar,IN,78.48,heavy intensity rain,17.4842,73.1929,Hotel Seawinds
459,Nago,JP,76.05,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
460,Kano,NG,86.77,clear sky,12.0001,8.5167,Royal Tropicana Hotel
463,Omboue,GA,75.72,clear sky,-1.5746,9.2618,Hotel Olako
465,La Primavera,CO,79.23,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
470,Banda Aceh,ID,79.88,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
474,Ciudad Ojeda,VE,84.2,overcast clouds,10.1964,-71.3082,Hotel América
476,Rodrigues Alves,BR,77.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
477,Maragogi,BR,76.69,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
488,Bayshore Gardens,US,86.13,broken clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
489,Itoman,JP,75.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
490,Lac Du Bonnet,CA,76.1,overcast clouds,50.2536,-96.0612,Drifter's Inn
492,Cocobeach,GA,77.2,scattered clouds,1.0002,9.5823,Hotel Esperance
495,Babai,IN,84.47,moderate rain,22.7,77.9333,Sumit Kahar
496,Buala,SB,80.76,light rain,-8.145,159.5921,Maringe Lagoon Lodge
497,Juazeiro,BR,87.98,light rain,-9.4117,-40.4986,JB Hotel
502,Apodi,BR,77.4,broken clouds,-5.6642,-37.7989,Churrascaria e pousada
504,Jalu,LY,77.0,clear sky,29.0331,21.5482,صاحبة الفخامة
509,Bireun,ID,76.32,moderate rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
513,Basco,PH,83.95,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
521,Lorengau,PG,81.5,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
522,Bennettsville,US,86.65,scattered clouds,34.6174,-79.6848,Quality Inn
524,Fare,PF,79.7,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
525,Carutapera,BR,77.23,broken clouds,-1.195,-46.02,Lidera
528,Tessalit,ML,86.92,overcast clouds,20.1986,1.0114,
531,Bhatkal,IN,79.09,light rain,13.9667,74.5667,Nilawar Palace
534,Gizo,SB,81.54,clear sky,-8.103,156.8419,Imagination Island
536,Wilmington,US,81.95,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
542,Vieques,PR,87.82,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
543,Umm Kaddadah,SD,83.61,overcast clouds,13.6017,26.6876,
544,Aquin,HT,83.68,broken clouds,18.2833,-73.4,Asheev Beach
