City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila,PT,2022-06-01 02:56:27,42.0304,-8.1588,56.28,94,55,3.76
68,Verkhnyaya Inta,RU,2022-06-01 02:56:27,65.9811,60.3094,50.97,51,8,9.57
69,Kidal,ML,2022-06-01 02:56:28,18.4411,1.4078,89.83,24,81,9.6
70,Port Shepstone,ZA,2022-06-01 02:56:28,-30.7414,30.455,55.6,50,2,7.61
71,Chuy,UY,2022-06-01 02:56:29,-33.6971,-53.4616,40.46,76,98,4.99
72,Ilulissat,GL,2022-06-01 02:56:29,69.2167,-51.1,25.74,82,3,9.01
73,Pavlovka,RU,2022-06-01 02:56:29,52.6897,47.1405,60.49,72,18,4.34
74,Atuona,PF,2022-06-01 02:56:30,-9.8,-139.0333,78.42,71,30,12.46
75,Lavrentiya,RU,2022-06-01 02:56:30,65.5833,-171.0,42.66,72,100,5.68
76,San Rafael,AR,2022-06-01 02:56:30,-34.6177,-68.3301,37.26,60,2,2.1
77,Punta Arenas,CL,2022-06-01 02:56:31,-53.15,-70.9167,32.11,93,0,3.44
78,Saint-Philippe,RE,2022-06-01 02:56:31,-21.3585,55.7679,67.59,74,42,11.65
79,Asau,RO,2022-06-01 02:56:31,46.4333,26.4,58.28,100,50,2.48
80,Los Llanos De Aridane,ES,2022-06-01 02:56:31,28.6585,-17.9182,64.15,86,0,4.61
81,Arnedo,ES,2022-06-01 02:56:32,42.2167,-2.1,56.7,63,4,1.79
82,Bandarban,BD,2022-06-01 02:56:32,22.1965,92.2262,82.11,54,71,5.41
83,Vila Franca Do Campo,PT,2022-06-01 02:56:32,37.7167,-25.4333,61.2,89,73,14.5
84,Arraial Do Cabo,BR,2022-06-01 02:56:33,-22.9661,-42.0278,72.48,88,100,1.21
85,Torbay,CA,2022-06-01 02:56:33,47.6666,-52.7314,40.75,96,100,21.0
86,Iqaluit,CA,2022-06-01 02:56:33,63.7506,-68.5145,33.53,80,40,0.0
87,Tsabong,BW,2022-06-01 02:56:34,-26.0217,22.401,47.98,29,2,7.67
88,Mamallapuram,IN,2022-06-01 02:56:34,12.6264,80.1722,87.85,58,94,9.33
89,Baykit,RU,2022-06-01 02:56:34,61.67,96.37,46.47,80,97,9.51
90,Nanortalik,GL,2022-06-01 02:57:35,60.1432,-45.2371,37.26,88,100,4.03
91,Nikolskoye,RU,2022-06-01 02:57:35,59.7035,30.7861,54.88,85,1,4.61
92,Khatanga,RU,2022-06-01 02:57:35,71.9667,102.5,42.75,56,100,10.36
93,Saint George,US,2022-06-01 02:55:52,37.1041,-113.5841,79.39,15,0,26.46
94,Godalming,GB,2022-06-01 02:57:36,51.1846,-0.6173,47.64,79,29,3.44
95,Constitucion,CL,2022-06-01 02:57:36,-35.3333,-72.4167,43.12,67,0,4.34
96,Lasa,IT,2022-06-01 02:57:36,46.6166,10.7002,51.69,94,77,2.1
97,Deputatskiy,RU,2022-06-01 02:57:37,69.3,139.9,53.38,65,77,3.65
98,Victoria,HK,2022-06-01 02:53:57,22.2855,114.1577,89.96,80,80,11.01
99,Bambous Virieux,MU,2022-06-01 02:57:37,-20.3428,57.7575,71.85,64,20,11.5
100,Seoul,KR,2022-06-01 02:57:38,37.5683,126.9778,80.2,24,0,8.05
101,Fortuna,US,2022-06-01 02:57:38,40.5982,-124.1573,57.92,83,0,11.5
102,Bathsheba,BB,2022-06-01 02:57:38,13.2167,-59.5167,81.21,78,40,13.8
103,Vestmannaeyjar,IS,2022-06-01 02:57:38,63.4427,-20.2734,49.59,87,98,15.37
104,La Ronge,CA,2022-06-01 02:57:39,55.1001,-105.2842,52.05,46,75,16.11
105,Bemidji,US,2022-06-01 02:57:39,47.4736,-94.8803,49.05,88,75,8.05
106,Vestmanna,FO,2022-06-01 02:57:39,62.1564,-7.1664,38.32,93,13,0.0
107,Ponta Do Sol,PT,2022-06-01 02:57:40,32.6667,-17.1,67.01,81,13,9.91
108,Comodoro Rivadavia,AR,2022-06-01 02:57:40,-45.8667,-67.5,39.06,70,0,8.05
109,Cabo San Lucas,MX,2022-06-01 02:57:40,22.8909,-109.9124,79.61,61,0,7.0
110,Seymchan,RU,2022-06-01 02:57:43,62.8833,152.4333,55.62,57,100,14.94
111,Kodiak,US,2022-06-01 02:57:43,57.79,-152.4072,48.52,84,74,7.11
112,Ankang,CN,2022-06-01 02:53:39,32.68,109.0172,79.56,65,60,1.23
113,Nabire,ID,2022-06-01 02:56:29,-3.3667,135.4833,89.08,56,88,5.01
114,Chokurdakh,RU,2022-06-01 02:57:44,70.6333,147.9167,58.95,52,80,6.91
115,Bethel,US,2022-06-01 02:57:44,41.3712,-73.414,64.89,79,100,1.01
116,Tocancipa,CO,2022-06-01 02:57:44,4.9653,-73.913,53.42,95,90,0.98
117,Codrington,AU,2022-06-01 02:57:45,-38.2667,141.9667,51.62,59,97,15.19
118,Balabac,PH,2022-06-01 02:57:45,7.9868,117.0645,86.13,69,100,10.27
119,Cumra,TR,2022-06-01 02:57:45,37.5732,32.7745,60.64,53,2,5.03
120,Guerrero Negro,MX,2022-06-01 02:57:46,27.9769,-114.0611,61.36,82,0,19.13
121,Kalaleh,IR,2022-06-01 02:57:46,37.3807,55.4916,60.4,72,0,0.0
122,Ratodero,PK,2022-06-01 02:57:46,27.803,68.2871,100.56,6,5,9.44
123,Bonthe,SL,2022-06-01 02:57:47,7.5264,-12.505,78.06,85,100,4.16
124,Kingisepp,RU,2022-06-01 02:57:47,59.3733,28.6134,47.66,91,18,5.17
125,Teya,RU,2022-06-01 02:57:47,60.3778,92.6267,55.13,47,26,7.85
126,Elliot,ZA,2022-06-01 02:54:16,-31.3333,27.85,37.96,37,2,7.9
127,Adrar,MR,2022-06-01 02:57:48,20.5022,-10.0711,84.36,24,62,18.77
128,East London,ZA,2022-06-01 02:56:37,-33.0153,27.9116,55.35,49,23,7.74
129,Naze,JP,2022-06-01 02:57:48,28.3667,129.4833,72.52,87,80,8.93
130,Gizo,SB,2022-06-01 02:57:48,-8.103,156.8419,83.12,70,88,4.03
131,Yulara,AU,2022-06-01 02:57:49,-25.2406,130.9889,49.84,100,100,9.22
132,Katsuura,JP,2022-06-01 02:57:49,35.1333,140.3,71.47,67,99,8.77
133,Talcahuano,CL,2022-06-01 02:57:49,-36.7167,-73.1167,37.08,93,0,5.75
134,Pisco,PE,2022-06-01 02:57:50,-13.7,-76.2167,61.02,88,31,9.22
135,Phan Thiet,VN,2022-06-01 02:57:50,10.9333,108.1,86.02,71,62,6.78
136,Lompoc,US,2022-06-01 02:57:50,34.6391,-120.4579,68.77,73,0,21.0
137,Wanning,CN,2022-06-01 02:58:51,18.8003,110.3967,87.46,71,35,11.3
138,Mbuyapey,PY,2022-06-01 02:58:51,-26.2,-56.75,48.97,73,96,3.69
139,Esperance,AU,2022-06-01 02:58:51,-33.8667,121.9,59.9,55,100,8.14
140,Nioro,GM,2022-06-01 02:58:52,13.35,-15.75,80.2,59,71,6.82
141,Cape Town,ZA,2022-06-01 02:57:03,-33.9258,18.4232,58.37,84,0,4.61
142,Fare,PF,2022-06-01 02:58:52,-16.7,-151.0167,79.99,76,100,18.92
143,Solnechnyy,RU,2022-06-01 02:58:52,50.7214,136.6319,47.98,97,100,3.71
144,Rawson,AR,2022-06-01 02:58:53,-43.3002,-65.1023,44.89,70,100,13.06
145,Zhezkazgan,KZ,2022-06-01 02:58:53,47.8043,67.7144,58.98,51,0,11.18
146,Havre-Saint-Pierre,CA,2022-06-01 02:58:53,50.2334,-63.5986,46.76,57,75,16.11
147,Boa Vista,BR,2022-06-01 02:58:53,2.8197,-60.6733,75.18,88,75,8.05
148,Padang,ID,2022-06-01 02:58:54,-0.9492,100.3543,84.25,64,46,4.63
149,Fukue,JP,2022-06-01 02:58:54,32.6881,128.8419,71.96,83,75,4.61
150,Hobart,AU,2022-06-01 02:56:15,-42.8794,147.3294,52.02,84,75,12.66
151,General Roca,AR,2022-06-01 02:58:54,-39.0333,-67.5833,36.68,52,0,3.42
152,Tasiilaq,GL,2022-06-01 02:58:55,65.6145,-37.6368,36.41,93,100,1.9
153,Menomonie,US,2022-06-01 02:58:55,44.8755,-91.9193,62.64,63,34,11.5
154,Manhattan,US,2022-06-01 02:57:11,40.7834,-73.9662,83.71,68,75,9.22
155,Wangou,CN,2022-06-01 02:58:55,42.0623,126.9127,63.7,46,72,9.6
